Type    ,PID       ,Description                        ,50FA      ,300M      
Scalar  ,KVEFF_1   ,fuel ve cid multiplier             ,30723.00  ,35641.00  
Scalar  ,NLM_CL    ,rev limit                          ,5000.00   ,5500.00   
Scalar  ,SPLCLP    ,spark min allowed                  ,5.00      ,0.00      
Scalar  ,DRBASE    ,Idle drive                         ,600       ,624       
Scalar  ,NUBASE    ,Idle neutral                       ,600       ,664       
Scalar  ,ALOSL     ,Fuel - Injector Low Slope          ,19.6555   ,24.1925   
Function,FN331A    ,fuel accel enrichment vs tprel     ,
        ,         ,                                  ,50FA      ,         ,300M      
        ,         ,                                  ,1         ,1         ,0.453125  ,0.40625   ,0.40625   
        ,         ,                                  ,1         ,0.75      ,0.34375   ,0.34375   ,0.34375   
        ,         ,                                  ,1         ,0.703125  ,0.296875  ,0.296875  ,0.296875  
        ,         ,                                  ,1         ,0.65625   ,0.296875  ,0.296875  ,0.296875  
        ,         ,                                  ,
        ,         ,                                  ,300M
        ,         ,                                  ,***       ,***       ,***       ,***       ,***       
        ,         ,                                  ,***       ,***       ,***       ,***       ,***       
        ,         ,                                  ,1.09      ,***       ,***       ,***       ,***       
        ,         ,                                  ,1.55      ,0.72      ,***       ,***       ,***       
        ,         ,                                  ,1.55      ,0.70      ,***       ,***       ,***       
        ,         ,                                  ,
Table   ,FN1360    ,fuel table base                    ,
        ,         ,                                  ,50FA
        ,         ,                                  ,14.6400003433228,14.6400003433228,14.6400003433228,14.6400003433228,14.6400003433228,14.6400003433228,14.6400003433228,14.6400003433228,14.6400003433228,14.6400003433228
        ,         ,                                  ,13.0387503057718,13.3818753138185,13.6106253191829,13.6106253191829,13.6106253191829,13.6106253191829,13.6106253191829,13.6106253191829,13.6106253191829,13.6106253191829
        ,         ,                                  ,12.8100003004074,12.8100003004074,12.8100003004074,12.8100003004074,12.8100003004074,12.8100003004074,12.8100003004074,12.8100003004074,12.8100003004074,12.8100003004074
        ,         ,                                  ,12.6956252977252,12.8100003004074,12.8100003004074,12.8100003004074,12.8100003004074,12.8100003004074,12.8100003004074,12.8100003004074,12.8100003004074,12.8100003004074
        ,         ,                                  ,12.4668752923608,12.8100003004074,13.153125308454,13.153125308454,13.153125308454,13.153125308454,13.153125308454,13.153125308454,13.153125308454,13.153125308454
        ,         ,                                  ,12.1237502843142,12.581250295043,12.9243753030896,13.0387503057718,13.153125308454,13.2675003111362,13.4962503165007,13.4962503165007,13.4962503165007,13.4962503165007
        ,         ,                                  ,12.0093752816319,12.4668752923608,12.6956252977252,12.9243753030896,13.0387503057718,13.153125308454,13.2675003111362,13.2675003111362,13.2675003111362,13.2675003111362
        ,         ,                                  ,11.8950002789497,12.3525002896786,12.581250295043,12.6956252977252,12.8100003004074,12.9243753030896,13.153125308454,13.153125308454,13.153125308454,13.153125308454
        ,         ,                                  ,
        ,         ,                                  ,300M
        ,         ,                                  ,13.15     ,13.50     ,13.84     ,13.95     ,13.95     ,13.95     ,13.95     ,13.95     ,13.95     ,13.95     
        ,         ,                                  ,***       ,***       ,13.50     ,***       ,13.73     ,13.73     ,13.73     ,13.95     ,14.30     ,14.30     
        ,         ,                                  ,12.92     ,13.27     ,13.27     ,13.38     ,13.50     ,13.50     ,13.73     ,13.95     ,13.95     ,14.07     
        ,         ,                                  ,***       ,13.04     ,13.15     ,13.27     ,13.50     ,13.61     ,13.50     ,13.50     ,13.50     ,13.50     
        ,         ,                                  ,***       ,***       ,13.04     ,***       ,13.27     ,13.50     ,***       ,13.50     ,13.50     ,13.50     
