ET,AEFUEL,FINJ_MULT,KAMRF1,LAMBSE1,PWOFF,ISCDTY,ISCTMR,EGRFLO,SAF,SAFTOT,IEGO1,BP,MPG_MODE,RPM,VSS,AD_CHANNEL_VCAL,AD_CHANNEL_TAR,AD_CHANNEL_BAT,AD_CHANNEL_OCC,AD_CHANNEL_TP,AD_CHANNEL_ACT,AD_CHANNEL_ECT,AD_CHANNEL_NDS,AD_CHANNEL_IEGO,28C,28D,28E,ACT,ECT,ATMR1,ATMR2,ATMR3,APT,RATCH,TAR,TP_REL,VBAT,LOAD_FUEL,LOAD_VE,MAP,VE,OLFLG,WOTFLG,0x93,0xA3,0x26,0xBD,0xDC,0x2C4,0x1DE,0xB7,0x40,0x1A,0x3C,0x21C,0x9C,0x15C,LTFT1,LTFT2,STFT1,STFT2,HP,TQ,IMPG,MPG,DIST,INJDC1,INJDC2,GEAR,AFR_Error,Marker
67.098,0,1.3125,1,0.904717548,273,28.49426333,0,0,1.75,1.75,1018,29.875,4,736,0,512,343,439,1,226,341,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.9375,0.5390625,0.546875,16.25,0,12,0,132,10,54,43,25,0,0,56,64,168,53,14464,3400,26,0,0,93.82023547,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.138,0,1.3125,1,0.905919471,273,28.2867438,0,0,1.5,1.25,1019,29.875,4,742,0,512,343,435,1,226,341,525,0,1019,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.9375,0.5390625,0.546875,16.25,0,12,0,132,10,54,43,25,0,0,56,64,168,53,14464,3400,26,0,0,93.82023547,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.178,0,1.3125,1,0.905919471,273,28.2867438,0,0,1.5,1.25,1019,29.875,4,742,0,512,343,435,1,226,341,525,0,1019,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.9375,0.5390625,0.546875,16.25,0,12,0,132,10,54,43,25,0,0,56,64,168,53,14464,3400,26,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.217,0,1.3125,1,0.905919471,273,28.2867438,0,0,1.25,1.25,1018,29.875,4,730,0,512,343,439,1,226,341,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.8125,0.5390625,0.5390625,16.125,0,12,0,132,11,54,43,25,0,0,56,64,168,53,14464,3312,27,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.257,0,1.28125,1,0.905919471,266,28.2867438,0,0,1.5,1.5,1018,29.875,4,719,0,512,345,439,1,226,340,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,12,0.5390625,0.5390625,16.125,0,12,0,132,10,54,43,25,0,0,56,64,168,53,14464,3226,31,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.297,0,1.3125,1,0.905919471,273,28.2867438,0,0,1.75,1.5,1018,29.875,4,699,0,512,343,427,1,226,340,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.9375,0.5390625,0.546875,16.25,0,12,0,132,10,54,43,25,0,0,56,64,168,53,14464,3147,37,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.336,0,1.28125,1,0.905919471,266,28.2867438,0,0,1.25,1.25,1018,29.875,4,724,0,512,343,439,1,226,340,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.9375,0.5390625,0.5390625,16.25,0,12,0,132,10,54,43,25,0,0,56,64,168,53,14464,3261,29,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.375,0,1.28125,1,0.905919471,266,28.2867438,0,0,1.25,1.25,1018,29.875,4,724,0,512,343,439,1,226,340,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.9375,0.5390625,0.5390625,16.25,0,12,0,132,10,54,43,25,0,0,56,64,168,53,14464,3261,29,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.414,0,1.3125,1,0.907121394,273,28.2867438,0,0,1.5,1.5,1019,29.875,4,735,0,512,343,435,1,226,340,525,0,1019,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.9375,0.53125,0.5390625,16.125,0,12,0,132,10,54,43,25,0,0,56,64,168,53,14464,3312,26,0,0,93.80381576,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.453,0,1.3125,1,0.905919471,273,28.2867438,0,0,1.75,1.5,1018,29.875,4,714,0,512,343,439,1,226,340,524,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.875,0.5390625,0.5390625,16.25,0,12,0,132,11,54,43,25,0,0,56,64,168,53,14464,3211,32,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
